id,building,condition,ownership,floor,area,energy_type,elevator,parking,barrierless,price,equipped,closest_transport_distance,closest_shop_distance,metro_distance,train_distance,restaurant_distance,distance_to_centre,balcony,cellar
56968780,Panelová,Po rekonstrukci,Osobní,6,37,D,True,,,4376000,,58.0,142.0,410.0,895,145,5.114633932777152,,True
4065768524,Cihlová,Po rekonstrukci,Osobní,4,29,D,True,,,5299000,True,139.0,209.0,268.0,1882,81,1.0387525567616505,True,
2895128396,Cihlová,Velmi dobrý,Osobní,2,23,G,,,,4051000,False,30.0,111.0,1489.0,2018,121,2.9421817672486075,,
3812763468,Cihlová,Dobrý,Osobní,1,36,G,True,,False,3121000,Částečně,134.0,334.0,1451.0,2841,235,7.127060549548,,True
3307112012,Smíšená,Ve výstavbě,Osobní,6,33,B,,True,,5374000,,73.0,120.0,3151.0,1051,322,10.812680386047697,True,True
552929100,Panelová,Velmi dobrý,Osobní,7,29,G,True,True,True,2988000,False,202.0,182.0,1990.0,1331,498,7.889419841774575,,True
4226344012,Cihlová,Novostavba,Osobní,1,39,C,,True,True,5950000,True,108.0,97.0,1037.0,4330,160,8.544878528361272,,
3824915532,Skeletová,Ve výstavbě,Osobní,4,40,G,True,True,,4582000,,98.0,467.0,5684.0,4131,956,8.186857383636656,True,
1342694988,Skeletová,Velmi dobrý,Osobní,2,37,C,True,1,,4848000,,157.0,0.0,281.0,1878,0,6.828020310910997,True,True
561374284,Cihlová,Novostavba,Osobní,8,38,B,True,1,,4847000,,40.0,83.0,67.0,360,14,6.200091792735188,,True
3189474380,Smíšená,Novostavba,Osobní,1,42,G,True,,True,5220000,Částečně,256.0,560.0,5419.0,3868,983,8.762783457569393,True,True
1740944460,Smíšená,Ve výstavbě,Osobní,2,28,B,True,1,True,4988000,,71.0,327.0,822.0,818,353,2.9414129080324476,,True
1661343308,Cihlová,Po rekonstrukci,Osobní,2,29,D,True,,,3845000,Částečně,43.0,240.0,137.0,2325,26,2.251018635831905,True,
351331916,Cihlová,Velmi dobrý,Osobní,-,63,G,False,,,11194000,,98.0,377.0,215.0,1549,65,2.3336628023898123,,True
2852820044,Skeletová,Novostavba,Osobní,1,31,C,,,,4383000,True,176.0,600.0,2042.0,3817,631,7.059760395231289,,True
1027024716,Cihlová,Novostavba,Osobní,1,53,C,True,True,True,4316000,False,182.0,75.0,1178.0,846,150,6.7250971898707705,,
3903576412,Cihlová,Dobrý,Osobní,5,43,G,False,,,6536000,Částečně,190.0,253.0,398.0,1995,45,2.913263554129565,,True
3948848204,Panelová,Velmi dobrý,Osobní,2,29,G,True,,,3453000,Částečně,143.0,215.0,2118.0,1064,399,8.476444111388618,,True
309834828,Smíšená,Novostavba,Osobní,4,37,,,,,5179000,False,254.0,543.0,1683.0,1149,134,4.1657527785673745,,True
812439372,Cihlová,Velmi dobrý,Osobní,3,46,B,,,,4775000,Částečně,40.0,294.0,5421.0,2285,641,9.305217766547937,,True
2461251404,Cihlová,Dobrý,Osobní,1,41,C,True,,False,5306000,True,66.0,28.0,1057.0,1899,170,2.684485353189223,,
3980719948,Cihlová,Novostavba,Osobní,2,34,,True,1,,4549000,,68.0,917.0,4522.0,2404,582,13.489300116823632,True,
3349821260,Panelová,Po rekonstrukci,Osobní,1,29,G,True,1,,3447000,False,92.0,319.0,1786.0,3179,439,7.717277007318965,,
4051613260,Cihlová,Velmi dobrý,Osobní,3,35,B,True,,,4974000,False,35.0,103.0,2318.0,1858,703,6.2209103770026815,True,
471816012,Cihlová,Novostavba,Osobní,2,27,B,True,True,True,3911000,,403.0,300.0,2238.0,4843,939,5.928969409447411,,True
869345100,Cihlová,Po rekonstrukci,Osobní,5,61,G,True,,,7963000,Částečně,157.0,222.0,439.0,748,129,1.0963964376512259,,
818767436,Cihlová,Velmi dobrý,Osobní,2,38,,,,,4581000,Částečně,50.0,466.0,1055.0,2122,46,4.701483322410537,,
2273797964,Cihlová,Před rekonstrukcí,Osobní,1,33,,True,,True,3752000,True,162.0,141.0,1412.0,2911,270,3.7974428324117127,,True
1061185100,Cihlová,Dobrý,Osobní,1,30,G,,,,2792000,,69.0,166.0,375.0,1694,376,3.6215285747571624,,
2018096716,Cihlová,Velmi dobrý,Osobní,5,68,D,True,,True,10619000,Částečně,75.0,213.0,323.0,882,93,1.6231652006442339,,
821204044,Panelová,Dobrý,Osobní,3,35,G,False,,False,3121000,True,47.0,406.0,1911.0,1210,251,7.393018148208473,True,True
790841164,Cihlová,Dobrý,Osobní,5,33,,False,,False,3646000,Částečně,7.0,480.0,423.0,1474,618,2.719469735606383,,
